"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.76946145189,261.365172787426,113.4397344145984,298.6763914697692,301.1211231624645,296.817429390711,285.9851991396855,264.8326382281734,249.51471638961,224.1336157128324,195.9439516245636,164.9745181352865,137.5853630528755,120.2253066112618,102.628935758662,90.20267427787644,80.91284956276864,72.3185818708122,60.81775141811923
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693521767079,261.3655006129723,113.4405403190664,292.649072931986,306.6040873806258,311.77029016468,318.7368562113924,326.7980044383864,347.4773491738224,350.585353903058,336.0053673692033,265.6901752196887,187.4732946526568,110.2967821161881,44.70542973934719,8.622093592622901,0.00003847055652167487,0.00003256711848642629,0.00002793529319232429
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.7680004115143,315.5570030499272,333.7859064644033,352.8069729927044,392.7799438793899,468.4419433701715,554.322620283293,652.2534539895148,651.895195305006,548.8031854731064,382.7046628147583,209.7263249448861,80.77387884993531,19.00522845659575,2.019335574188375,0.000122049290981
"IMAGE 3.2","SSP1_SPA1_34I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693794955034,261.3654186565857,113.4409432713004,280.4750254011818,287.1633221966812,281.4092189329389,277.6765699440348,286.3051295540734,308.0284074228886,315.1890735118027,318.7457075011423,308.8619311931378,293.2665596672271,259.8923892019026,225.9356727408129,202.5677897220228,185.9250019163036,182.8808685310044,184.560195870091
"IMAGE 3.2","SSP1_SPA1_34I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693521767079,261.3655006129723,113.4405403190664,293.8542689153465,316.3174763609438,327.6266381442366,340.8395921500434,358.2810039647292,388.5471423820225,402.1434883642207,398.8853122159867,317.4742361198393,218.3237411280267,127.3212954517716,52.34236487973725,10.269453672384,0.00002606914891600954,0.00002213281469411168,0.0000189715934830971
"IMAGE 3.2","SSP2_SPA2_26I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.7669622972844,314.6512483843112,316.1655838578274,321.207486122245,337.4682615507468,370.4381957986947,404.7992577523431,446.339289387907,425.0410919774536,348.6862605133742,243.2645857555286,133.0130982023202,50.91650815522619,11.77536044376849,1.219451165636102,0.00009073100493964746
"IMAGE 3.2","SSP2_SPA2_26I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329979472156,206.7695297488788,261.3653640189947,113.4401783450257,275.7272372893814,259.3503842986958,239.8268704831074,217.6706033646261,204.2284173455729,199.8551152828228,193.7280011849885,183.5003085601255,169.8638722454951,161.6146067925192,156.0892301443061,148.1787587340277,139.4436285026478,129.6915014702761,117.4637588468684,107.0263671475591
"IMAGE 3.2","SSP1_SPA1_26I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7693521767079,261.3655006129723,113.4405403190664,292.6478982237784,302.6447197076635,303.3948118763807,303.9319813527797,298.9773899588585,303.0300786373326,292.8134501246571,265.4920866333403,202.9659065292019,138.8351023323388,78.70562064866475,30.70577979366973,5.557328540716134,0.00003830724182655924,0.00003274490900948698,0.00002804425432874406
"IMAGE 3.2","SSP2_SPA2_34I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7695297488788,261.3655279317678,113.4401373668324,300.2821083143149,319.3042949132325,332.2952290678114,360.9682172865003,407.0216417682641,485.3771925413786,567.0052618303774,646.179229079816,632.3555360812626,524.7883797168975,360.3632152408139,194.0128679253206,73.29399263531694,16.93725710267818,1.76860708371361,0.00008378967446564449
"IMAGE 3.2","SSP2_SPA2_26I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger","Mt CO2/yr",232.5329706284201,206.7696390240609,261.3653640189947,113.439700266104,306.5254092495151,330.4511830511096,339.56159157661,350.2383778811008,375.1945893310853,411.2955034153049,427.0768339823511,450.0334735127126,474.2026577824307,494.7876980357161,507.7306877041494,504.0031473300084,480.0939013997062,440.8161938591202,396.6075803203328,357.519246670323
