"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017695,3.805472,1.647202,4.3726831796875,4.4190590390625,4.4124786015625,4.352150796875,4.161045,4.0889833125,3.763292312500005,3.416500312500014,3.103651125000129,2.865565375000574,2.685569312502454,2.51622200002635,2.330484000419125,2.140672260718584,1.933536308120728,1.728436165527344
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805477,1.647214,4.286304400390625,4.5093705,4.60003640625,4.7410756015625,4.8964435,5.222333296875,5.284585,5.314520296875,5.314801796875,5.096832203125,4.641125796875,4.0876858046875,3.514919018554687,2.981583557828365,2.512968471993223,2.148025404661882
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.390933550781249,4.75743790625,5.2700391875,5.730847874999999,6.4676415,7.709841624999999,8.953284875,10.43641246875,11.867448125,12.6766361875,12.541541,11.676010796875,10.4385163203125,9.248671936523436,8.14321193408203,7.32633980703108
"IMAGE 3.2","SSP1_SPA1_34I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805476,1.647219,4.10766126953125,4.22554812109375,4.14950862109375,4.1154808125,4.2562876015625,4.5693513984375,4.657256046875,4.696014890624999,4.5562682265625,4.37090159375,3.99055259375,3.57490259375,3.27313190625,3.03449709375,2.9529925,2.913125203125
"IMAGE 3.2","SSP1_SPA1_34I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805477,1.647214,4.3025070703125,4.65058058984375,4.8269215234375,5.042931890625,5.315265,5.759234203125,5.946427703125,6.1106899921875,6.05285440625,5.55913433984375,4.9122457890625,4.279741990722656,3.641674947753906,3.082581381192697,2.602192323454042,2.225121276910886
"IMAGE 3.2","SSP2_SPA2_26I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.3908834296875,4.756533999999999,5.0179398125,5.3505176875,5.863765,6.631456999999999,7.264685999999999,8.025299296875,8.924088,9.601494625,9.8032338125,9.4705475,8.7715292109375,7.91897343359375,7.107983027343749,6.442820357487127
"IMAGE 3.2","SSP2_SPA2_26I_LI","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403347,3.017696,3.805474,1.647208,4.05159694921875,4.04751709375,3.8744463125,3.5847835,3.4711148125,3.4469806875,3.2230226875,2.9728663125,2.73117690625,2.548975,2.41131440625,2.27827059375,2.140031203125,1.996669703125004,1.86097220312502,1.735679906250033
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",15.3366,20.0954,12.8558,15.3888,13.025,12.8303,14.9246,13.8517,14.276,14.1478,13.7032,13.6852,"",15.105,"",17.5405,"",20.8441,"",24.4525
"IMAGE 3.2","SSP1_SPA1_26I_RE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017694,3.805477,1.647214,4.286286880859374,4.4531877109375,4.48625184375,4.5460935,4.550376,4.6830505,4.5807828125,4.4916645,4.4825876875,4.3321301875,3.99668609375,3.6183716015625,3.18503896875,2.737230560512964,2.333608478761628,1.99754040986486
"IMAGE 3.2","SSP2_SPA2_34I_LIRE","World","Final Energy|Transportation|Aviation|Passenger","EJ/yr",3.403346,3.017696,3.805477,1.647208,4.387364119140625,4.82593059375,5.2335258125,5.8345431875,6.649015875,7.9020553125,9.046761375,10.2849736875,11.5129141875,12.1871691875,11.9975763125,11.160065796875,9.9879500234375,8.854318923828124,7.887344158691405,7.125460238418139
