"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB400","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9537604882455,808.4665407230302,464.8239103878905,1117.7103955073,1168.931921429407,1194.18333978383,1187.571617572186,1132.719874484994,1092.332777976952,970.3130431113594,850.906596906849,745.1927066526752,661.3877323126047,607.6449103584954,536.1456703882056,483.6890992837781,433.7138021759093,381.5322528008767,313.269079536118
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9536853615579,808.4665338933313,464.8255768344175,1101.626126816682,1211.486764362321,1307.053648054214,1413.166542976421,1479.144685104846,1565.759841495043,1569.841692987739,1506.422925877428,1198.792327925269,871.8205691176476,534.6471627418465,226.6610857926232,45.77088602846597,0.0001648878268147,0.0001435072503923,0.0001257072976937
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB450","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1161.38976202039,1314.614397903585,1487.536745902029,1671.438504162388,1826.375345555083,2037.90665063907,2250.2880073646,2495.301323859245,2350.984718864305,1966.860428010415,1399.405669548176,775.4798361494798,295.6324394983465,68.1530956410516,7.717544267251768,0.0003553609386335
"IMAGE 3.2","SSP1_SPA1_34I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.954129291985,808.4665612121269,464.8264715249709,1069.871605781621,1168.163976427814,1243.472634617282,1319.359276563662,1428.696267436686,1581.652304922283,1604.432833837295,1605.734519806449,1523.487365632671,1413.428543884899,1278.675976015145,1153.449840948537,1047.947514276604,963.847339861794,920.7786577038588,899.4464279038809
"AIM/Hub-Global 2.0","1.5C","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",855.2693999999999,988.5495,1156.996,1163.8409,1145.4551,1011.8779,893.9994000000002,923.34,1037.1137,1012.9864,842.6871000000001,692.6338000000001,695.7396,694.1612999999999,625.6921000000001,615.4216,614.7074,614.5038999999999,612.7583999999999
"MESSAGEix-GLOBIOM_1.1","NGFS2_Delayed Transition","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP1_SPA1_34I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9536853615579,808.4665338933313,464.8255768344175,1108.969296119098,1259.400680775692,1397.694338240132,1543.008543691242,1647.521745563316,1769.4011369466,1825.103915151973,1829.598580963841,1465.700900936255,1036.417794197644,631.8952621845663,272.9952894399388,56.52592446159974,0.0001293413964937,0.0001127006319481,0.00009858183995948352
"IMAGE 3.2","SSP2_SPA2_26I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1161.393716416043,1312.091602752678,1364.892592156832,1426.519656062666,1457.921764635461,1501.611594247238,1535.412375023473,1598.524338400646,1450.880413386,1196.283123875136,852.5855076343039,466.4126144525234,172.6451068303415,37.84150216065744,3.998859783444062,0.000352725777803
