"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB400","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386185922,10988.3299058154,11692.1746688039,"",12421.2145221445,"",4254.93633877276,"",1110.0179244063,"",42.5604392201957,"",-874.198151967228,"",-448.45637887875,"",-304.584197956843,"",-88.3985660019472,"",-56.8216335929557
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600f_DR4p","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13219.14601920013,6601.789048391775,4065.029244564574,2928.910018377397,1851.702118361534,861.2296020033447,195.993507246743,65.723356382087,46.45624181927532,"",-87.35044792477869,"",4.114445528506478,"",-48.5672445052638,"",-7.334895133599736
"POLES ENGAGE","EN_NPi2020_2500f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,13707.7900390625,13816.9296875,13211.927734375,12776.5390625,12319.119140625,11424.6162109375,"",8661.1640625,"",6661.8671875,"",6830.98779296875,"",7731.6416015625,"",8678.08984375
"TIAM-ECN 1.1","EN_NPi2020_800","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9503.60064,12873.97517,"",10854.68208,"",132.412588,"",-2524.466229,"",-4202.831,"",-3201.02,"",-1838,"",-1378.83,"",-1491.81,"",-1275.2088
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000f_COV_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10987.8725,11567.6458,11045.8811,10114.6593,9362.6914,5468.1563,2464.9352,1492.6162,1136.3498,926.3396,749.1594,"",670.7068,"",549.4871,"",286.0403,"",-104.0538
"GEM-E3_V2021","EN_NPi2020_1000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","","",12395.23196576639,12598.87280063153,11600.17823308521,9560.943549681486,6480.944684648796,3373.166248391758,2151.57053138737,-63.53084469215889,-1122.336906882023,-2238.932286408152,-3305.896399713798,-4199.222562240653,-5448.337469568311,-5504.586017411222,-5797.269668952459,-6091.023434408529,-6797.137681248009,-6866.402989441974
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_hi_none","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10859.1434,13197.8374,15846.1874,14868.2253,11144.0064,6479.681799999999,2640.5564,1181.5716,761.8520999999998,615.9873,506.007,"",249.8025,"",110.9318,"",36.60080000000001,"",9.4111
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1800f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,11172.2029,9976.6121,7974.5584,5309.6082,3522.5391,2518.3296,1903.6066,1549.784,"",1276.1229,"",1327.3094,"",1431.3353,"",1590.1205
"IMAGE 3.0.2","EMF33_WB2C_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",9194.140625,11050.400390625,12583.5703125,"",13859.7900390625,"",9616.6474609375,"",1164.22900390625,"",-3686.26000976562,"",-5862.51318359375,"",-6492.54296875,"",-6467.47802734375,"",-6970.2919921875,"",-7103.037109375
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_2000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,10867.41917275917,10352.09699814116,9640.730542704585,8899.887879824855,8253.829616498393,8315.107719378406,8281.62680945279,8166.236910897986,"",5047.019300345123,"",63.87266303610004,"",-539.9763199019715,"",-520.2537552906028
