"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB400","World","Final Energy|Electricity","EJ/yr",45.3973961554851,54.2037641678815,63.7216612221964,"",82.7108166484285,"",123.15763150823,"",187.908993321333,"",248.114079563554,"",298.92014258851,"",347.136194863841,"",391.774686500203,"",437.192486111402,"",486.005502499385
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600f_DR4p","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.81279428786698,92.0555922460382,103.5374802211053,120.2030146109039,140.8517169521511,164.3089955747467,188.1131460773525,209.0740525880567,229.7715035311365,"",277.9337485019477,"",326.5906541293404,"",374.0115020883397,"",415.5704016091665
"POLES ENGAGE","EN_NPi2020_2500f","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,83.22787475585938,94.14659118652344,106.1685028076172,120.110221862793,134.4727630615234,148.1328277587891,161.6002197265625,"",195.3325805664062,"",228.624740600586,"",259.1704711914062,"",281.6107788085937,"",292.7147521972656
"TIAM-ECN 1.1","EN_NPi2020_800","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",81.19,"",101.12,"",124.45,"",169.4,"",204.35,"",241.35,"",265.7,"",290.13,"",291.28
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000f_COV_NDCp","World","Final Energy|Electricity","EJ/yr","",54.5046,63.5357,71.8144,79.6471,91.7012,112.7939,126.6706,145.8294,173.0405,202.7752,230.5218,258.514,"",311.8896,"",352.3085,"",380.7541,"",409.8761
"GEM-E3_V2021","EN_NPi2020_1000f","World","Final Energy|Electricity","EJ/yr","","","",83.21729139977066,92.91515904476896,103.0426687391102,114.8730266170826,128.9386073701501,142.6775407795099,157.5386559503543,178.1521276506645,197.9949672604287,213.3864070459561,228.5045659466645,245.7618268579899,261.6254642184143,281.3123478435151,299.2475161531134,316.6098635777782,335.3645356146523,353.7297677384116
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_hi_none","World","Final Energy|Electricity","EJ/yr","",54.40499999999999,63.9112,77.8638,96.698,107.158,117.5036,134.8623,162.2806,200.3303,240.6369,276.0853,307.4044,"",364.39,"",430.7015999999999,"",474.3823,"",517.0993
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1800f","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,98.1503,119.2172,137.9324,153.7422,175.4864,202.7525,228.8252,257.8726,"",314.3117,"",359.3804,"",391.821,"",424.1386
"IMAGE 3.0.2","EMF33_WB2C_full","World","Final Energy|Electricity","EJ/yr",45.13605078125,53.64262109375,63.58371875,"",79.1609296875,"",90.337796875,"",93.6435703125,"",113.162796875,"",142.5245,"",172.930296875,"",203.7535,"",230.00540625,"",251.23409375
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_2000f","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,85.94045362879577,91.30247175481183,99.03286997094108,108.5514576550778,120.8771775117384,137.326158214819,159.0887757944521,183.1860328533659,201.9509921149474,"",245.3822283543679,"",292.0248928104672,"",341.0476649288757,"",394.433044743005
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_300f","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,92.9411,113.8835,143.5007,178.0719,214.4668,249.2964,280.0927,309.8546,"",375.7636,"",425.2597,"",469.3416,"",528.5881
"COFFEE 1.1","EN_NPi2020_400f","World","Final Energy|Electricity","EJ/yr","","",62.15960801664,67.1834539656,74.69690028912,83.46247403184,86.40619406783998,88.94723470416,103.42097550432,115.0737555096,155.86658476128,"",241.1407909555199,"",309.28342686768,"",354.9895945632,"",374.5635419519999,"",381.5086647744
"REMIND-MAgPIE 2.1-4.2","NGFS2_Below 2°C","World","Final Energy|Electricity","EJ/yr","","",63.4483,72.9647,86.5762,96.1778,109.7855,124.6778,139.1488,158.041,174.898,187.3676,198.8776,"",223.9427,"",248.2278,"",264.7031,"",282.9051
"TIAM-ECN 1.1","EN_NPi2020_2500f","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",83.4600995305931,"",106.0655643732819,"",124.1930535794919,"",142.6620364548349,"",160.0337488735417,"",187.810056323908,"",217.3083490815591,"",247.9008863480301,"",268.4937487820116
"AIM/CGE 2.1","CD-LINKS_NDC2030i_1000","World","Final Energy|Electricity","EJ/yr","",54.6745,61.9896,70.5581,81.4541,91.1634,104.1151,113.422,136.5891,182.757,200.8515,211.8799,228.4212,254.5926,260.3814,264.2777,270.0923,275.9991,284.4161,295.6163,308.8575
"WITCH 5.0","EN_INDCi2030_2500f","World","Final Energy|Electricity","EJ/yr","","",63.89963184903874,73.05904013175711,89.68342988072888,103.8392099147019,115.1138472041707,130.3986198981035,142.6282506819418,165.5487822516664,185.6489112364357,201.958249775275,219.0384181128609,234.1441637561176,248.5542474097682,262.686705633807,275.5451841675527,286.7830492635322,296.8784755397552,307.2726492394979,317.934081738571
"REMIND 1.7","ADVANCE_2030_Price1.5C","World","Final Energy|Electricity","EJ/yr","",54.4048,63.236,74.9952,91.1921,107.7204,129.3991,145.2131,174.6311,214.0361,262.3642,307.113,344.6118,"",401.6499,"",460.1123,"",512.2344,"",568.0087
"AIM/CGE 2.2","EN_INDCi2030_1200","World","Final Energy|Electricity","EJ/yr","","",66.1256,74.3472,88.2133,102.6152,117.536,128.8858,153.6826,168.1206,178.9806,198.8818,234.9481,262.0092,281.692,293.6105,305.212,315.822,325.7524,334.9246,344.0681
